data,qtd_incidentes,prioridade_media,pct_criticos,completude_media,tam_desc_medio,tem_AM,tem_disk,tem_ICMP,lag_1,lag_2,lag_7,lag_14,lag_30,media_7d,media_14d,media_30d,std_7d,dia_semana,mes,dia_mes,fim_de_semana,media_3d,trend_7_30,variacao_1d,variacao_7d,target_d1,target_d7
2025-03-11,172,2.2267441860465116,0.32558139534883723,0.9040697674418605,50.16860465116279,0.0,0.06395348837209303,0.011627906976744186,110.0,42.0,42.0,125.0,46.0,115.85714285714286,109.71428571428571,118.9,40.068393909366904,1,3,11,0,108.0,-3.0428571428571445,68.0,68.0,158.0,124.0
2025-03-12,158,2.0063291139240507,0.2088607594936709,0.990506329113924,48.822784810126585,0.0,0.0759493670886076,0.03164556962025317,172.0,110.0,99.0,230.0,134.0,124.28571428571429,104.57142857142857,119.7,42.08607958978949,2,3,12,0,146.66666666666666,4.585714285714289,62.0,73.0,157.0,268.0
2025-03-13,157,2.0764331210191083,0.2611464968152866,1.0,47.503184713375795,0.01910828025477707,0.06369426751592357,0.012738853503184714,158.0,172.0,138.0,155.0,142.0,127.0,104.71428571428571,120.2,43.69973302740724,3,3,13,0,162.33333333333334,6.799999999999997,-14.0,20.0,155.0,143.0
2025-03-14,155,1.8709677419354838,0.0967741935483871,0.9903225806451613,51.39354838709677,0.0064516129032258064,0.09032258064516129,0.0064516129032258064,157.0,158.0,120.0,132.0,156.0,132.0,106.35714285714286,120.16666666666667,44.754888001200506,4,3,14,0,156.66666666666666,11.833333333333329,-1.0,37.0,48.0,157.0
2025-03-15,48,1.9166666666666667,0.2708333333333333,0.96875,49.604166666666664,0.020833333333333332,0.2708333333333333,0.041666666666666664,155.0,157.0,130.0,84.0,116.0,120.28571428571429,103.78571428571429,117.9,54.938493747445385,5,3,15,1,120.0,2.385714285714286,-2.0,25.0,68.0,83.0
2025-03-16,68,2.0294117647058822,0.29411764705882354,0.9963235294117647,53.63235294117647,0.029411764705882353,0.08823529411764706,0.014705882352941176,48.0,155.0,42.0,39.0,112.0,124.0,105.85714285714286,116.43333333333334,49.359227438578635,6,3,16,1,90.33333333333333,7.566666666666663,-107.0,6.0,230.0,56.0
2025-03-17,230,1.9869565217391305,0.08695652173913043,0.9923913043478261,38.02608695652174,0.0,0.043478260869565216,0.0,68.0,48.0,110.0,43.0,90.0,141.14285714285714,119.21428571428571,121.1,62.71743131280323,0,3,17,0,115.33333333333333,20.042857142857144,20.0,-42.0,124.0,134.0
2025-03-18,124,1.9274193548387097,0.16129032258064516,0.9879032258064516,47.185483870967744,0.0,0.14516129032258066,0.016129032258064516,230.0,68.0,172.0,42.0,63.0,134.28571428571428,125.07142857142857,123.13333333333334,61.39140625449756,1,3,18,0,140.66666666666666,11.152380952380938,162.0,58.0,268.0,162.0
2025-03-19,268,2.324626865671642,0.47761194029850745,0.9626865671641791,45.62313432835821,0.0,0.10074626865671642,0.007462686567164179,124.0,230.0,158.0,99.0,117.0,150.0,137.14285714285714,128.16666666666666,79.79348344319855,2,3,19,0,207.33333333333334,21.833333333333343,-106.0,-34.0,143.0,150.0
2025-03-20,143,2.027972027972028,0.18181818181818182,0.9912587412587412,45.62937062937063,0.013986013986013986,0.1048951048951049,0.0,268.0,124.0,157.0,138.0,147.0,148.0,137.5,128.03333333333333,79.76423592897594,3,3,20,0,178.33333333333334,19.96666666666667,144.0,111.0,157.0,117.0
2025-03-21,157,2.0445859872611467,0.22929936305732485,0.9984076433121019,46.745222929936304,0.0,0.12101910828025478,0.012738853503184714,143.0,268.0,155.0,120.0,185.0,148.28571428571428,140.14285714285714,127.1,79.79706403478407,4,3,21,0,189.33333333333334,21.185714285714283,-125.0,-12.0,83.0,130.0
